date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:39	164/164	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%22e6-19f6c5821d8%22	https://moniepoint.com/robots.txt		(from )
15:02:41	12/12	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2017%20Jul%202026%2014:02:41%20GMT	https://moniepoint.com/	moniepoint.com/index.html	(from )
15:02:42	139386/139386	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jul%202026%2014:02:41%20GMT	https://moniepoint.com/ng/business	moniepoint.com/ng/business.html	(from https://moniepoint.com/)
15:02:42	83365/83365	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Jul%202026%2014:02:42%20GMT	https://moniepoint.com/business/hero.png	moniepoint.com/business/hero.png	(from https://moniepoint.com/ng/business)
15:02:44	77174/77174	---M--	200	added ('OK')	image/png	etag:W/%2212d76-19f6c5821d8%22	https://moniepoint.com/business/hero-sub.png	moniepoint.com/business/hero-sub.png	(from https://moniepoint.com/ng/business)
15:02:45	639/639	---MCZ	200	added ('OK')	application/json	etag:W/%2227f-19f6c5821d8%22	https://moniepoint.com/manifest.json	moniepoint.com/manifest.json	(from https://moniepoint.com/ng/business)
15:02:46	1029/1029	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22405-19f6c5821d8%22	https://moniepoint.com/icon.svg	moniepoint.com/icon.svg	(from https://moniepoint.com/ng/business)
15:02:46	28464/28464	---M--	200	added ('OK')	font/woff2	etag:W/%226f30-19f6c5821d8%22	https://moniepoint.com/fonts/AventaVariable.woff2	moniepoint.com/fonts/AventaVariable.woff2	(from https://moniepoint.com/ng/business)
15:02:48	29584/29584	---M--	200	added ('OK')	font/woff2	etag:W/%227390-19f6c5821d8%22	https://moniepoint.com/fonts/AventaItalicVariable.woff2	moniepoint.com/fonts/AventaItalicVariable.woff2	(from https://moniepoint.com/ng/business)
15:02:49	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b7d2-19f3cd4cd58%22	https://moniepoint.com/_next/static/chunks/polyfills-42372ed130431b0a.js	moniepoint.com/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://moniepoint.com/ng/business)
15:02:50	1700/1700	---MCZ	200	added ('OK')	application/javascript	etag:W/%226a4-19dab869c38%22	https://moniepoint.com/_next/static/chunks/5917.721d47a5be558837.js	moniepoint.com/_next/static/chunks/5917.721d47a5be558837.js	(from https://moniepoint.com/ng/business)
15:02:50	3140/3140	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c44-19eacab1610%22	https://moniepoint.com/_next/static/chunks/2610.00c7317b543957ec.js	moniepoint.com/_next/static/chunks/2610.00c7317b543957ec.js	(from https://moniepoint.com/ng/business)
15:02:52	4499/4499	---MCZ	200	added ('OK')	application/javascript	etag:W/%221193-19e2bdc00f8%22	https://moniepoint.com/_next/static/chunks/4852.23ffa5ba55a65b0b.js	moniepoint.com/_next/static/chunks/4852.23ffa5ba55a65b0b.js	(from https://moniepoint.com/ng/business)
